gene_id,gene_name,CPT0019990006,CPT0017440009,CPT0077290006
ENSG00000005001.8,PRSS22,238.4721,0,2845.8089
ENSG00000005007.11,UPF1,133571.1756,254321.6018,154269.1355
ENSG00000005020.11,SKAP2,393306.9754,462424.7591,443018.2035
ENSG00000005022.5,SLC25A5,1111142.735,874232.5213,802961.0277
ENSG00000005059.14,CCDC109B,59062.3092,91142.6961,61836.6436
ENSG00000005073.5,HOXA11,4441.3495,7469.0658,6115.4859
ENSG00000005075.14,POLR2J,247437.7953,168386.7106,192045.8133
ENSG00000005100.11,DHX33,69506.1361,82063.6239,50010.9455
ENSG00000005102.11,MEOX1,1892.5366,8121.371,3474.5538
ENSG00000005108.14,THSD7A,140836.8488,280153.2084,141474.8804
ENSG00000005156.10,LIG3,65916.2866,76715.4845,67344.1903
ENSG00000005175.8,RPAP3,95207.1479,102912.6602,94679.6012
ENSG00000005187.10,ACSM3,87036.8983,72923.8024,46895.816
ENSG00000005189.18,AC004381.6,33761.0214,31340.8904,18035.943
ENSG00000005194.13,CIAPIN1,161085.3029,176610.6237,227240.618
ENSG00000005206.15,SPPL2B,92370.6218,77751.3606,75485.3184
ENSG00000005238.18,FAM214B,63504.6911,69625.0547,56175.0861
ENSG00000005243.8,COPZ2,221419.6273,112030.1435,231766.9655
ENSG00000005249.11,PRKAR2B,24915.4769,30273.0325,19604.1119
ENSG00000005302.16,MSL3,87628.2264,95492.7426,75210.8316
ENSG00000005339.11,CREBBP,162254.8153,288373.8303,133477.2025
ENSG00000005379.14,BZRAP1,79213.3235,57303.4953,67698.4272
ENSG00000005381.7,MPO,807.1936,1179.5915,1630.141
ENSG00000005421.7,PON1,1809.003,3776.5491,2767.6604
ENSG00000005436.12,GCFC2,152073.2149,140145.3315,146386.0933
ENSG00000005448.15,WDR54,171366.9851,120705.2009,232399.8666
ENSG00000005469.10,CROT,78885.4672,89502.4701,101379.4186
ENSG00000005471.14,ABCB4,74439.3247,65887.5288,33329.5158
ENSG00000005483.18,KMT2E,348025.566,635620.8024,374936.6056
ENSG00000005486.15,RHBDD2,179095.007,253882.2935,202720.1859
ENSG00000005513.9,SOX8,899.0593,2547.2392,117.9003
ENSG00000005700.13,IBTK,316334.8028,337826.6526,367127.968
ENSG00000005801.15,ZNF195,133509.0089,150807.9465,177015.4702
ENSG00000005810.16,MYCBP2,453958.3758,500569.4896,437919.4566
ENSG00000005812.9,FBXL3,241614.5543,211175.3279,336157.3328
ENSG00000005844.16,ITGAL,157700.0455,275146.5796,108511.4474
ENSG00000005882.10,PDK2,145294.0903,98433.274,122220.2083
ENSG00000005884.16,ITGA3,614704.2304,680921.3394,512405.5915
ENSG00000005889.14,ZFX,168055.0552,200732.8293,207695.3828
ENSG00000005893.14,LAMP2,836028.7173,628692.2363,1024454.671
ENSG00000005961.16,ITGA2B,7383.3135,6315.339,3859.4678
ENSG00000005981.11,ASB4,618.0597,387.086,1475.1239
ENSG00000006007.10,GDE1,157776.5266,172359.7871,159742.1407
ENSG00000006015.16,C19orf60,158439.322,71759.6633,57525.2885
ENSG00000006016.9,CRLF1,21501.8414,6103.2104,14024.2802
ENSG00000006025.10,OSBPL7,31527.8145,50539.4065,39277.5319
ENSG00000006042.10,TMEM98,134324.4923,115811.2613,121290.0109
ENSG00000006047.11,YBX2,9244.7969,3087.9709,5204.9756
ENSG00000006059.3,KRT33A,0,923.3521,0
ENSG00000006062.12,MAP3K14,108846.8354,261145.4905,90095.1982
ENSG00000006071.10,ABCC8,251.9473,1139.6137,616.7416
ENSG00000006116.3,CACNG3,0,0,0
ENSG00000006118.13,TMEM132A,80010.464,33668.1269,25871.5919
ENSG00000006125.15,AP2B1,563981.0399,746578.3522,573293.1911
ENSG00000006128.10,TAC1,301.5005,0,0
ENSG00000006194.9,ZNF263,148025.1581,150747.2985,161011.2863
ENSG00000006210.6,CX3CL1,314157.9858,603512.2886,272926.5687
ENSG00000006282.18,SPATA20,276670.4693,187482.514,253679.2859
ENSG00000006283.16,CACNA1G,351.7765,183.5958,0
ENSG00000006327.12,TNFRSF12A,415527.7387,896088.4629,533561.8007
ENSG00000006377.10,DLX6,0,2928.6779,1060.5219
ENSG00000006432.14,MAP3K9,6434.088,11657.115,12487.498
ENSG00000006451.6,RALA,150501.156,202003.9898,183778.0905
ENSG00000006453.12,BAIAP2L1,64184.0414,69721.0687,40840.0082
ENSG00000006459.9,KDM7A,172520.4449,203960.8864,193110.499
ENSG00000006468.12,ETV1,44160.5436,24839.765,25920.2222
ENSG00000006530.14,AGK,162501.3593,173343.2402,191790.1179
ENSG00000006534.14,ALDH3B1,91836.7088,112719.6756,181853.9203
ENSG00000006555.9,TTC22,69379.6736,45924.8334,68434.3011
ENSG00000006576.15,PHTF2,86379.0934,109269.2034,119422.5954
ENSG00000006606.7,CCL26,11287.9057,1683.2211,21463.8732
ENSG00000006607.12,FARP2,61097.8552,130271.2499,79868.3857
ENSG00000006611.14,USH1C,486819.5408,595025.1968,640701.2018
ENSG00000006625.16,GGCT,141149.8132,115710.1234,75909.8031
ENSG00000006634.6,DBF4,33783.8457,48747.671,34204.7321
ENSG00000006638.10,TBXA2R,30163.4364,29357.8356,8606.0069
ENSG00000006652.12,IFRD1,234488.4066,224611.4662,210576.6446
ENSG00000006659.11,LGALS14,0,1652.0215,0
ENSG00000006695.9,COX10,111262.432,83357.1229,77589.4235
ENSG00000006704.9,GTF2IRD1,69467.7957,73609.1932,66985.3901
ENSG00000006712.13,PAF1,400041.9031,197093.9664,242269.4597
ENSG00000006715.14,VPS41,403300.9309,366057.5533,434116.7468
ENSG00000006740.15,ARHGAP44,18522.6111,20614.6983,8726.7337
ENSG00000006744.17,ELAC2,184720.3565,197871.7317,184884.0794
ENSG00000006747.13,SCIN,27523.7824,89819.2466,51205.9329
ENSG00000006756.14,ARSD,180567.4961,188649.1051,236961.4965
ENSG00000006757.10,PNPLA4,51943.955,35225.8417,96124.4424
ENSG00000006788.11,MYH13,717.2568,1778.1327,11193.0483
ENSG00000006831.9,ADIPOR2,287328.0347,337320.3241,200461.8624
ENSG00000006837.10,CDKL3,22903.387,12633.7943,24272.1195
ENSG00000007001.11,UPP2,28683.027,21500.489,14667.0092
ENSG00000007038.9,PRSS21,1157.5658,1208.2909,1859.5526
ENSG00000007047.13,MARK4,52159.7687,64158.2913,60183.9136
ENSG00000007062.10,PROM1,51302.9435,90956.8872,1144809.793
ENSG00000007080.9,CCDC124,206089.7639,112392.5291,123708.4196
ENSG00000007129.16,CEACAM21,24581.8603,32460.2455,13321.6339
ENSG00000007168.11,PAFAH1B1,455834.637,478734.0249,496944.4491
ENSG00000007171.15,NOS2,16766.2006,23476.8237,13388.6899
ENSG00000007174.16,DNAH9,8313.8854,8363.2696,1907.958
ENSG00000007202.13,KIAA0100,493355.777,535563.6045,556257.1324
ENSG00000007216.13,SLC13A2,0,368.3677,161.9759
ENSG00000007237.17,GAS7,59741.2808,102245.5187,60427.7279
ENSG00000007255.9,TRAPPC6A,234892.4856,161121.9693,211701.9958
ENSG00000007264.12,MATK,27492.536,13057.2598,13501.852
ENSG00000007306.13,CEACAM7,0,0,197.2572
ENSG00000007312.11,CD79B,86479.6226,53704.4655,42707.1296
ENSG00000007314.10,SCN4A,20983.0022,21758.3938,4752.0398
ENSG00000007341.17,ST7L,62811.4287,64391.7692,64616.1872
ENSG00000007350.15,TKTL1,1091.6796,651.1529,4724.2826
ENSG00000007372.19,PAX6,4621.0225,4341.1665,5337.7539
ENSG00000007376.6,RPUSD1,72978.5844,60297.4919,67368.9931
ENSG00000007384.14,RHBDF1,64985.6919,67712.486,54550.2832
ENSG00000007392.15,LUC7L,174382.8947,268033.8896,166760.8627
ENSG00000007402.10,CACNA2D2,4592.0406,4793.2664,3140.8262
ENSG00000007516.12,BAIAP3,27692.9148,16048.388,28141.6939
ENSG00000007520.3,TSR3,518400.4096,337481.1003,419540.8067
ENSG00000007541.13,PIGQ,75991.647,127243.3341,98284.2196
ENSG00000007545.14,CRAMP1L,34332.0965,58190.0386,39004.4109
ENSG00000007866.17,TEAD3,53634.2282,72370.2203,49920.3804
ENSG00000007908.14,SELE,386606.6375,24104.0205,31340.6609
ENSG00000007923.14,DNAJC11,153758.9715,147755.2252,158312.573
ENSG00000007933.11,FMO3,159937.5307,37061.0009,20219.346
ENSG00000007944.13,MYLIP,469574.9629,437845.6115,435531.3843
ENSG00000007952.16,NOX1,1125.4111,704.8364,2066.1696
ENSG00000007968.6,E2F2,9701.0565,23083.2944,5458.0272
ENSG00000008018.8,PSMB1,1085226.487,738243.9329,843790.9678
ENSG00000008056.11,SYN1,4079.8872,4814.1489,2279.6759
ENSG00000008083.12,JARID2,150281.2865,152816.6117,111195.9922
ENSG00000008086.9,CDKL5,74165.5012,76541.7968,104326.4667
ENSG00000008118.8,CAMK1G,14677.5314,14210.5128,2733.737
ENSG00000008128.21,CDK11A,34994.3257,25405.1457,26788.08
ENSG00000008130.14,NADK,146344.9904,171959.3229,124395.0575
ENSG00000008196.11,TFAP2B,462.8663,0,424.8937
ENSG00000008197.4,TFAP2D,306.6988,0,0
ENSG00000008226.18,DLEC1,4232.7229,3776.8511,5138.8597
ENSG00000008256.14,CYTH3,113003.7192,96983.4465,77282.5338
ENSG00000008277.13,ADAM22,72046.5356,51726.8664,69691.2281
ENSG00000008282.6,SYPL1,388113.3809,674988.5482,566671.0461
ENSG00000008283.14,CYB561,142736.2344,160271.4451,181119.0288
ENSG00000008294.19,SPAG9,671964.2097,948408.5139,765740.087
ENSG00000008300.13,CELSR3,3159.4419,4411.4638,1694.9501
ENSG00000008311.13,AASS,137875.6371,248749.3615,103345.9239
ENSG00000008323.14,PLEKHG6,34741.9177,33474.7642,44893.7912
ENSG00000008324.9,SS18L2,101945.6413,68506.195,87155.9886
ENSG00000008382.14,MPND,79453.6975,65246.3834,87216.5581
ENSG00000008394.11,MGST1,207724.124,68122.7199,221374.7428
ENSG00000008405.10,CRY1,110203.1409,203184.6106,86504.0964
ENSG00000008438.4,PGLYRP1,11859.02,18980.6562,5080.1945
ENSG00000008441.15,NFIX,45072.5557,94095.3206,68073.7311
ENSG00000008513.13,ST3GAL1,214872.5626,277722.8118,186589.4588
ENSG00000008516.15,MMP25,15313.829,16272.9056,12664.4278
ENSG00000008517.15,IL32,492956.8065,611582.0645,562265.7862
ENSG00000008710.16,PKD1,71169.4779,105196.1445,89889.8835
ENSG00000008735.13,MAPK8IP2,578.7829,2617.9637,1239.7018
ENSG00000008838.16,MED24,111033.9497,132712.6308,106878.6025
ENSG00000008853.15,RHOBTB2,41265.064,66912.6451,70915.3681
ENSG00000008869.10,HEATR5B,332549.6958,711911.8816,357928.9851
ENSG00000008952.15,SEC62,379680.1066,359219.3077,532816.2476
ENSG00000008988.8,RPS20,4512337.347,2038252.969,3230069.568
ENSG00000009307.14,CSDE1,2682626.075,2103785.807,2911830.93
ENSG00000009335.16,UBE3C,276713.8959,342070.7006,279346.152
ENSG00000009413.14,REV3L,244231.8634,251825.8691,229410.4273
ENSG00000009694.12,TENM1,202074.1691,128317.55,196152.9547
ENSG00000009709.10,PAX7,0,0,0
ENSG00000009724.15,MASP2,19818.0376,15794.4033,29869.6384
ENSG00000009765.13,IYD,1098.6932,974.8128,5698.357
ENSG00000009780.14,FAM76A,85370.8329,82925.5547,109584.5341
ENSG00000009790.13,TRAF3IP3,46934.1756,76668.0084,37824.7403
ENSG00000009830.10,POMT2,36614.6649,42017.3154,58923.4134
ENSG00000009844.14,VTA1,114285.5486,90329.3142,109514.8983
ENSG00000009950.14,MLXIPL,66203.6255,65649.4701,96801.7836
ENSG00000009954.9,BAZ1B,471899.2073,611952.6724,449706.9542
ENSG00000010017.12,RANBP9,319566.3965,353452.8043,312864.87
ENSG00000010030.12,ETV7,75050.5122,233766.3768,54146.3503
ENSG00000010072.14,SPRTN,50311.4806,54528.2711,49988.4651
ENSG00000010165.18,METTL13,130743.6035,207581.5876,176681.3099
ENSG00000010219.12,DYRK4,61974.8954,50792.2838,55557.2326
ENSG00000010244.15,ZNF207,310212.9089,396042.9924,403797.4983
ENSG00000010256.9,UQCRC1,506258.4842,365025.9594,411439.238
ENSG00000010270.12,STARD3NL,293388.0083,286566.0775,310780.5146
ENSG00000010278.10,CD9,685184.6252,646228.3445,746341.7947
ENSG00000010282.13,HHATL,8072.8299,0,180.7452
ENSG00000010292.11,NCAPD2,128641.2082,192166.4069,133875.7503
ENSG00000010295.18,IFFO1,90915.3543,114998.3287,93700.6523
ENSG00000010310.7,GIPR,5649.0602,12922.3475,2096.3158
ENSG00000010318.18,PHF7,26135.7321,25565.2274,21275.5804
ENSG00000010319.5,SEMA3G,119958.093,122843.2327,27633.5237
ENSG00000010322.14,NISCH,167147.3266,199312.9702,183779.6623
ENSG00000010327.9,STAB1,967878.8207,775269.7535,749748.8623
ENSG00000010361.12,FUZ,129862.2987,88018.772,89450.7855
ENSG00000010379.14,SLC6A13,1863188.152,407367.6836,1749252.198
ENSG00000010404.16,IDS,178697.0017,204560.098,277631.489
ENSG00000010438.15,PRSS3,1026.2613,1785.3878,3140.2301
ENSG00000010539.10,ZNF200,38642.2481,47229.8654,43486.4494
ENSG00000010610.8,CD4,372615.945,383887.9094,254141.1598
ENSG00000010626.13,LRRC23,95058.5491,71207.8604,148342.2497
ENSG00000010671.14,BTK,105510.2839,84418.5994,69328.5934
ENSG00000010704.17,HFE,138321.1013,79153.8081,102757.4042
ENSG00000010803.15,SCMH1,407692.146,362492.1018,445805.0599
ENSG00000010810.16,FYN,327283.9882,378586.4391,185788.4034
ENSG00000010818.7,HIVEP2,261495.3943,337514.9441,218604.7388
ENSG00000010932.14,FMO1,425739.4754,174360.1214,256770.0432
ENSG00000011007.11,TCEB3,233669.5488,217897.9887,223320.1646
ENSG00000011009.9,LYPLA2,401003.3638,298711.967,311236.2719
ENSG00000011021.20,CLCN6,98044.5929,139166.5797,110411.5409
ENSG00000011028.12,MRC2,142806.111,134166.2206,73505.1882
ENSG00000011052.20,NME2,4128.2003,3830.3115,3789.5315
ENSG00000011083.7,SLC6A7,1685.2718,947.2192,238.0024
ENSG00000011105.10,TSPAN9,629403.8909,314662.1978,344027.6521
ENSG00000011114.13,BTBD7,130793.4902,136105.5025,161698.3817
ENSG00000011132.10,APBA3,80835.9979,61920.1801,59720.8918
ENSG00000011143.15,MKS1,98827.1051,72123.013,80212.4734
ENSG00000011198.6,ABHD5,103545.844,107895.9613,115313.3682
ENSG00000011201.9,KAL1,58822.8674,61900.3869,37805.3413
ENSG00000011243.16,AKAP8L,185412.428,170850.7561,135852.7453
ENSG00000011258.14,MBTD1,165054.6337,155289.7147,206299.8181
ENSG00000011260.12,UTP18,289741.8771,251122.2435,260210.9389
ENSG00000011275.17,RNF216,241395.4179,227641.7971,242166.765
ENSG00000011295.14,TTC19,253702.7216,231854.5435,246202.4628
ENSG00000011304.15,PTBP1,390101.9709,412980.2525,359768.997
ENSG00000011332.18,DPF1,118.5902,495.1476,217.7226
ENSG00000011347.8,SYT7,1434.3179,2195.8501,1141.0962
ENSG00000011376.8,LARS2,100272.8186,110506.1368,94275.1466
ENSG00000011405.12,PIK3C2A,610422.5664,589722.6735,555519.1265
ENSG00000011422.10,PLAUR,255816.3823,111983.1129,111611.5426
ENSG00000011426.9,ANLN,33896.4403,50107.7465,30767.9872
ENSG00000011451.16,WIZ,42522.7383,67660.8409,40411.9427
ENSG00000011454.15,RABGAP1,249761.678,327958.2424,216667.515
ENSG00000011465.15,DCN,206123.7428,6058.7838,211746.9853
ENSG00000011478.10,QPCTL,64620.7699,42653.7793,56484.2994
ENSG00000011485.13,PPP5C,126281.1748,132572.4433,105113.8538
ENSG00000011523.12,CEP68,143843.0496,197140.274,200214.925
ENSG00000011566.13,MAP4K3,237000.5692,223097.965,235730.4031
ENSG00000011590.12,ZBTB32,10891.4609,31746.6446,16034.4458
ENSG00000011600.10,TYROBP,1435948.191,921727.8171,897583.711
ENSG00000011638.9,TMEM159,267259.1021,240411.7522,309475.9388
ENSG00000011677.11,GABRA3,543.0317,141.7069,498.4825
ENSG00000012048.18,BRCA1,54970.2357,48198.4122,35263.0503
ENSG00000012061.14,ERCC1,226018.9689,149822.983,135787.6951
ENSG00000012124.13,CD22,14510.4034,8103.7301,11198.9814
ENSG00000012171.16,SEMA3B,87733.7206,21117.5968,72745.3252
ENSG00000012174.10,MBTPS2,49481.8837,67691.058,66202.1153
ENSG00000012211.11,PRICKLE3,31544.8446,37763.9149,22249.4251
ENSG00000012223.11,LTF,22651.3704,22244.9148,8858.5988
ENSG00000012232.7,EXTL3,76945.4839,97935.8415,69684.4142
ENSG00000012504.12,NR1H4,520535.5725,200921.1462,449439.8991
ENSG00000012660.12,ELOVL5,527283.1916,556933.8656,301899.5656
ENSG00000012779.9,ALOX5,275307.3076,235440.6707,388748.702
ENSG00000012817.14,KDM5D,275803.9855,287010.8172,252073.2368
ENSG00000012822.14,CALCOCO1,344687.2534,259493.3776,318876.287
ENSG00000012963.12,UBR7,239312.0695,241434.6979,310917.8052
ENSG00000012983.10,MAP4K5,161581.4816,184101.3189,214225.3446
ENSG00000013016.13,EHD3,182459.0545,94330.0948,126914.0664
ENSG00000013275.6,PSMC4,497691.3216,415202.0712,429498.2319
ENSG00000013288.7,MAN2B2,110609.5511,143235.5365,150277.0568
ENSG00000013293.5,SLC7A14,653.1022,56.8101,399.682
ENSG00000013297.9,CLDN11,5001.5495,2462.6039,12127.7853
ENSG00000013306.14,SLC25A39,264598.0769,229683.3067,242150.0374
ENSG00000013364.17,MVP,872990.7188,1169002.979,1219161.59
ENSG00000013374.14,NUB1,352838.171,361162.1449,318484.216
ENSG00000013375.14,PGM3,195875.1176,188257.3277,275194.2696
ENSG00000013392.7,RWDD2A,69177.6165,45864.6292,57221.971
ENSG00000013441.14,CLK1,928279.1245,932294.8451,1053861.713
ENSG00000013503.8,POLR3B,61750.8788,65068.3817,68516.7442
ENSG00000013523.8,ANGEL1,137826.4398,162856.7633,87577.8552
ENSG00000013561.16,RNF14,323025.7214,279038.036,452856.0672
ENSG00000013563.12,DNASE1L1,121702.8335,104160.822,107290.3339
ENSG00000013573.15,DDX11,74433.973,64143.3086,46175.7076
ENSG00000013583.7,HEBP1,100219.3994,142416.06,87291.4635
ENSG00000013588.5,GPRC5A,11870.2607,4646.4083,8110.4256
ENSG00000013619.12,MAMLD1,11847.0774,25530.2666,7980.9702
ENSG00000013725.13,CD6,41082.6069,42882.8697,15435.7226
ENSG00000013810.17,TACC3,46040.9011,66899.5316,25054.1105
ENSG00000014123.9,UFL1,422880.268,320585.951,504920.7759
ENSG00000014138.7,POLA2,52290.6979,73675.4656,37688.9037
ENSG00000014164.6,ZC3H3,55229.7859,79945.5606,49998.5907
ENSG00000014216.14,CAPN1,176354.445,282889.0143,261509.2839
ENSG00000014257.14,ACPP,16019.4346,17571.6566,14331.3722
ENSG00000014641.16,MDH1,395953.4267,340669.4554,419912.3263
ENSG00000014824.12,SLC30A9,287098.2562,234710.2205,422583.7874
ENSG00000014914.18,MTMR11,283438.5849,422433.8792,614953.7739
ENSG00000014919.11,COX15,349552.9181,277386.9467,397936.6964
ENSG00000015133.17,CCDC88C,43794.1983,85305.962,37930.6238
ENSG00000015153.13,YAF2,64175.9088,72360.34,70481.1453
ENSG00000015171.17,ZMYND11,463226.7454,364465.9693,546886.3611
ENSG00000015285.9,WAS,88217.9596,95826.9605,66057.464
ENSG00000015413.8,DPEP1,58857.4817,169330.6944,67011.1568
ENSG00000015475.17,BID,147877.6579,103306.0889,99899.7183
ENSG00000015479.16,MATR3,72290.4581,105288.2566,87044.6607
ENSG00000015520.13,NPC1L1,3468.2892,2036.4027,2686.2959
ENSG00000015532.8,XYLT2,175908.7962,144960.9615,212088.5711
ENSG00000015568.11,RGPD5,361.4178,670.6761,331.7678
ENSG00000015592.15,STMN4,1555.2813,1262.6714,475.8964
ENSG00000015676.16,NUDCD3,242204.0365,246883.42,269611.7801
ENSG00000016082.13,ISL1,0,0,181.3096
ENSG00000016391.9,CHDH,124955.3659,46183.1361,145013.7057
ENSG00000016402.11,IL20RA,361.0357,125.6188,3093.2262
ENSG00000016490.14,CLCA1,0,0,0
ENSG00000016602.9,CLCA4,660.5546,861.8756,0
ENSG00000016864.15,GLT8D1,186934.0104,140957.7357,175334.54
ENSG00000017260.18,ATP2C1,322274.0446,383885.8734,382546.7852
ENSG00000017427.14,IGF1,14007.34,9037.1929,13181.278
ENSG00000017483.13,SLC38A5,14464.8136,14506.5651,11455.6596
ENSG00000017797.10,RALBP1,364130.7437,225546.2246,322294.1974
ENSG00000018189.11,RUFY3,407632.8708,317925.225,411422.9104
ENSG00000018236.13,CNTN1,16867.2873,79.3082,5021.6857
ENSG00000018280.15,SLC11A1,112455.6583,48076.5675,43966.1172
ENSG00000018408.13,WWTR1,554482.8356,484424.1635,467877.192
ENSG00000018510.11,AGPS,403331.0996,291833.2149,423790.1633
ENSG00000018607.6,ZNF806,0,0,1472.7573
ENSG00000018610.12,CXorf56,208056.8527,168810.7707,221165.6768
ENSG00000018625.13,ATP1A2,10122.9107,15283.6908,12279.3069
ENSG00000018699.10,TTC27,246637.8282,246252.3471,210654.3265
ENSG00000018869.15,ZNF582,17671.7098,23589.7163,17313.8228
ENSG00000019102.10,VSIG2,43328.4864,66388.4989,52545.3477
ENSG00000019144.15,PHLDB1,90565.7446,174598.6652,75462.2075
ENSG00000019169.10,MARCO,68997.9344,22863.9563,26139.2815
ENSG00000019186.8,CYP24A1,23073.1386,5684.4734,19206.9503
ENSG00000019485.11,PRDM11,26475.0029,37599.1363,20034.101
ENSG00000019505.6,SYT13,321347.9571,203426.7716,370899.1559
ENSG00000019549.7,SNAI2,65354.529,46607.2281,50375.7862
ENSG00000019582.13,CD74,18242271.55,20271067.16,8851573.347
ENSG00000019991.14,HGF,68714.8699,78537.9598,58320.3947
ENSG00000019995.6,ZRANB1,134495.8901,138406.6715,151450.3694
ENSG00000020129.14,NCDN,73397.1315,92201.9728,71414.0825
ENSG00000020181.16,GPR124,110363.9598,133712.9806,50987.98
ENSG00000020219.9,CCT8L1P,1020.1308,1064.8334,312.1471
ENSG00000020256.18,ZFP64,52066.4704,48828.3282,56681.939
ENSG00000020426.9,MNAT1,129458.1554,104692.0003,138846.7574
ENSG00000020577.12,SAMD4A,131012.45,173517.2792,163801.8341
ENSG00000020633.17,RUNX3,52480.6862,99839.6129,94848.6963
ENSG00000020922.11,MRE11A,136293.13,166453.0365,172411.1714
ENSG00000021300.12,PLEKHB1,12693.2142,6504.2695,11440.0372
ENSG00000021355.11,SERPINB1,718072.4749,633161.5328,534356.3341
ENSG00000021461.15,CYP3A43,4317.2769,4281.1393,8520.6578
ENSG00000021488.11,SLC7A9,151240.1777,73671.5498,164788.4423
